databaseId1,CCAE,CUIMC,France_LPD,Germany_DA,HKMHAMDM,MDCD,MDCR,OptumDod,OptumEHR,SIDIAP,TMUCRD,UK_IMRD,US_Open_Claims,VAMOMOP
CCAE,1,0.07942946862383887,0.35776074868616065,0.5224852525009763,0.021114370915755395,0.6566418916312814,0.6953040321684244,0.8150297141379331,0.7709291168428257,0.6756137326437356,0.13668801384098475,0.44926159635667323,0.8135690854381655,0.6305966666075268
CUIMC,0.07942946862383887,1,0.02223975180387179,0.08747501808159497,-1.1153704169340313e-5,0.039755217888608765,0.037790361952833196,0.037870437845043146,0.08090780586303381,0.05264948628510475,0.007066156281699292,0.04444297854142755,0.05126729387044607,-0.0014164926525761187
France_LPD,0.35776074868616065,0.02223975180387179,1,0.2515258009201133,0.01585669138775276,0.3440319258853253,0.3479649358223838,0.38144460770892974,0.32134194261170196,0.3554508972931828,0.09522509670084908,0.1746680621000104,0.3868245302112805,0.323750233751044
Germany_DA,0.5224852525009763,0.08747501808159497,0.2515258009201133,1,0.02091660043689204,0.5322415697602106,0.5791673149573894,0.6144650006030695,0.5862811114449,0.5441974869980409,0.11195830279929178,0.384783646085044,0.6287724983276594,0.5244792903737407
HKMHAMDM,0.021114370915755395,-1.1153704169340313e-5,0.01585669138775276,0.02091660043689204,1,0.01877001643727504,0.018504858702112,0.02255992191487841,0.018720298204344742,0.03279934153828405,0.0019240394403153692,0.009443826539024463,0.0211690818080612,0.019050694508860933
MDCD,0.6566418916312814,0.039755217888608765,0.3440319258853253,0.5322415697602106,0.01877001643727504,1,0.7880284953977795,0.8253174781189087,0.648395880686202,0.6475642659198884,0.1130518408930828,0.35965218345008615,0.8509187126763615,0.7591202106658081
MDCR,0.6953040321684244,0.037790361952833196,0.3479649358223838,0.5791673149573894,0.018504858702112,0.7880284953977795,1,0.8773523771753108,0.6772227470948963,0.7022648080912891,0.13103572547558207,0.387712913186684,0.8842243735255243,0.7699281747997794
OptumDod,0.8150297141379331,0.037870437845043146,0.38144460770892974,0.6144650006030695,0.02255992191487841,0.8253174781189087,0.8773523771753108,1,0.7940588803375611,0.7846338789561884,0.15795909849284506,0.46938577316525976,0.9574685599940115,0.8265723662813875
OptumEHR,0.7709291168428257,0.08090780586303381,0.32134194261170196,0.5862811114449,0.018720298204344742,0.648395880686202,0.6772227470948963,0.7940588803375611,1,0.6111649420254638,0.1354509866524611,0.535322132339116,0.7825456623473704,0.637306297489408
SIDIAP,0.6756137326437356,0.05264948628510475,0.3554508972931828,0.5441974869980409,0.03279934153828405,0.6475642659198884,0.7022648080912891,0.7846338789561884,0.6111649420254638,1,0.14277900948011965,0.3179488044800591,0.7933457479493657,0.6947549203278156
TMUCRD,0.13668801384098475,0.007066156281699292,0.09522509670084908,0.11195830279929178,0.0019240394403153692,0.1130518408930828,0.13103572547558207,0.15795909849284506,0.1354509866524611,0.14277900948011965,1,0.08429954840686982,0.1448208692893446,0.1059198927169037
UK_IMRD,0.44926159635667323,0.04444297854142755,0.1746680621000104,0.384783646085044,0.009443826539024463,0.35965218345008615,0.387712913186684,0.46938577316525976,0.535322132339116,0.3179488044800591,0.08429954840686982,1,0.4525501682087954,0.39089233048476174
US_Open_Claims,0.8135690854381655,0.05126729387044607,0.3868245302112805,0.6287724983276594,0.0211690818080612,0.8509187126763615,0.8842243735255243,0.9574685599940115,0.7825456623473704,0.7933457479493657,0.1448208692893446,0.4525501682087954,1,0.8422514065161789
VAMOMOP,0.6305966666075268,-0.0014164926525761187,0.323750233751044,0.5244792903737407,0.019050694508860933,0.7591202106658081,0.7699281747997794,0.8265723662813875,0.637306297489408,0.6947549203278156,0.1059198927169037,0.39089233048476174,0.8422514065161789,1
