metaAnalysis,databasesPositive,databasesNegative,tcoCount
MA negative,no DB positive,1 DB negative,1
MA negative,no DB positive,>=2 DB negative,17
MA non-significant,1 DB positive,1 DB negative,4
MA non-significant,1 DB positive,>=2 DB negative,2
MA non-significant,1 DB positive,no DB negative,7
MA non-significant,>=2 DB positive,1 DB negative,3
MA non-significant,>=2 DB positive,no DB negative,9
MA non-significant,no DB positive,1 DB negative,12
MA non-significant,no DB positive,>=2 DB negative,5
MA non-significant,no DB positive,no DB negative,18
MA positive,1 DB positive,no DB negative,1
MA positive,>=2 DB positive,no DB negative,10
PI and MA negative,no DB positive,>=2 DB negative,10
PI and MA positive,>=2 DB positive,no DB negative,6
